index,x,y,z
0,-14.298127955012,-4.314956886276,0.839346
1,-14.327559637451,-4.305532680155,0.839346
2,-14.374467762925,-4.295361988591,0.839346
3,-14.424123042727,-4.293244284014,0.839346
4,-14.46961095448,-4.293222295839,0.839346
5,-14.51593096218,-4.293199905441,0.839346
6,-14.558645220779,-4.293179258008,0.839346
7,-14.607199723132,-4.288422641731,0.839346
8,-14.654108455645,-4.278067440477,0.839346
9,-14.683266415001,-4.267536310282,0.839346
10,-14.699465414754,-4.26040186317,0.839346
11,-14.725909998388,-4.246791394752,0.839346
12,-14.728667770564,-4.245195441151,0.839346
13,-14.758148526093,-4.225266549716,0.839346
14,-14.77182159773,-4.213558103,0.839346
15,-14.795261748683,-4.186528279297,0.839346
16,-14.801225070039,-4.176890136601,0.839346
17,-14.809877351407,-4.156724630592,0.839346
18,-14.81238907482,-4.142744836491,0.839346
19,-14.813329068948,-4.131724958962,0.839346
20,-14.813221961302,-4.124362317341,0.839346
21,-14.813271115748,-4.109421807597,0.839346
22,-14.813322141516,-4.093912508778,0.839346
23,-14.813411945188,-4.066616653883,0.839346
24,-14.813519494779,-4.033926920777,0.839346
25,-14.809442959905,-4.003473837178,0.839346
26,-14.785639806548,-3.956809135778,0.839346
27,-14.746025609348,-3.91987651764,0.839346
28,-14.69387519868,-3.890768072174,0.839346
29,-14.687228889982,-3.888131546442,0.839346
30,-14.658114029076,-3.878602184837,0.839346
31,-14.609841256112,-3.867435102125,0.839346
32,-14.560677931267,-3.864742764577,0.839346
33,-14.514525019753,-3.864765074203,0.839346
34,-14.46858777605,-3.864787279578,0.839346
35,-14.422434864535,-3.864809589204,0.839346
36,-14.373706196133,-3.861107678738,0.839346
37,-14.326075754031,-3.851360512086,0.839346
38,-14.296344748695,-3.841906069184,0.839346
