index,x,y,z,s,tx,ty,tz,yaw
0,-12.411620846,-4.210146414,0.839346,0,-0.710926265,-0.703266554,0,-2.36161075
1,-12.43262479,-4.230924056,0.839346,0.029544476,-0.755605442,-0.655027035,0,-2.427374254
2,-12.453600763,-4.246538397,0.839346,0.055694029,-0.848480865,-0.52922606,0,-2.583904496
3,-12.487839298,-4.265363202,0.839346,0.094766404,-0.912611623,-0.408827624,0,-2.7204236
4,-12.531022884,-4.281221608,0.839346,0.140769786,-0.960334415,-0.278850877,0,-2.858995339
5,-12.575504399,-4.290818387,0.839346,0.186274767,-0.985037709,-0.172338945,0,-2.968389003
6,-12.603605049,-4.293920344,0.839346,0.214546107,-0.99731044,-0.073293148,0,-3.068233726
7,-12.631058575,-4.294901108,0.839346,0.242017147,-0.99936249,-0.035701731,0,-3.105883334
