index,x,y,z,s,tx,ty,tz,yaw
0,-12.629854136,-4.294111607,0.839346,0,-0.999484684,-0.032099334,0,-3.109487805
1,-12.654090366,-4.294889975,0.839346,0.024248726,-0.999976238,-0.0068937,0,-3.134698899
2,-12.736951435,-4.294849921,0.839346,0.107109805,-0.999999883,0.000483385,0,3.141109269
3,-12.810967784,-4.294814142,0.839346,0.181126162,-0.999999883,0.000483385,0,3.141109269
4,-12.910587272,-4.294765988,0.839346,0.280745662,-0.999999883,0.000483385,0,3.141109269
5,-13.043723597,-4.294701632,0.839346,0.413882003,-0.999999883,0.000483385,0,3.141109269
6,-13.136360411,-4.294656853,0.839346,0.506518827,-0.999999883,0.000483385,0,3.141109269
7,-13.241414438,-4.294606071,0.839346,0.611572867,-0.999999883,0.000483385,0,3.141109269
8,-13.333620128,-4.2945615,0.839346,0.703778568,-0.999999883,0.000483385,0,3.141109269
9,-13.41756582,-4.294520922,0.839346,0.787724269,-0.999999883,0.000483385,0,3.141109269
10,-13.508092355,-4.294477163,0.839346,0.878250815,-0.999999883,0.000483385,0,3.141109269
11,-13.637658458,-4.294414533,0.839346,1.007816933,-0.999999883,0.000483385,0,3.141109269
12,-13.738369228,-4.294365851,0.839346,1.108527715,-0.999999883,0.000483385,0,3.141109269
13,-13.789856194,-4.294340962,0.839346,1.160014687,-0.999952581,0.009738342,0,3.131854158
14,-13.823733639,-4.293534503,0.839346,1.19390173,-0.999949028,0.0100966,0,3.131495882
15,-13.87203901,-4.293511153,0.839346,1.242207106,-0.999999883,0.000483385,0,3.141109269
16,-13.918260672,-4.29348881,0.839346,1.288428774,-0.999039364,-0.043821779,0,-3.097756837
17,-13.967856817,-4.297714097,0.839346,1.338204577,-0.990368339,-0.138457768,0,-3.00268864
18,-14.015421454,-4.307072307,0.839346,1.386681074,-0.966787824,-0.255580328,0,-2.883144734
19,-14.043487623,-4.317707881,0.839346,1.416694826,-0.935110333,-0.354356693,0,-2.779366624
