index,x,y,z,s,tx,ty,tz,yaw
0,-14.043487623,-4.317707881,0.839346,0,-0.944618755,-0.328169784,0,-2.807227251
1,-14.057287033,-4.322501931,0.839346,0.014608444,-0.952591972,-0.304250777,0,-2.832440833
2,-14.072729143,-4.327047404,0.839346,0.030705652,-0.971280324,-0.237938086,0,-2.901350239
3,-14.103244188,-4.333760223,0.839346,0.06195033,-0.98320861,-0.182485148,0,-2.958079202
4,-14.126591735,-4.337044391,0.839346,0.085527728,-0.996006574,-0.089279928,0,-3.052193691
5,-14.164037502,-4.339209607,0.839346,0.123036043,-0.999968575,-0.0079278,0,-3.133664771
6,-14.20176662,-4.337640381,0.839346,0.16079778,-0.9970657,0.076550566,0,3.064967125
7,-14.227852651,-4.334310145,0.839346,0.187095526,-0.989036333,0.147672384,0,2.993378215
8,-14.243073789,-4.331472834,0.839346,0.202578852,-0.974815412,0.223013258,0,2.916688164
9,-14.270585165,-4.32453402,0.839346,0.230951779,-0.957827733,0.287343059,0,2.850140898
10,-14.298127955,-4.314956886,0.839346,0.260112141,-0.944528366,0.32842985,0,2.806951924
