index,x,y,z,s,tx,ty,tz,yaw
0,-12.411620846,-4.210146414,0.839346,0,-0.576899451,-0.816815171,0,-2.185724006
1,-12.42177989,-4.224530309,0.839346,0.01760973,-0.548602864,-0.836083068,0,-2.151488598
2,-12.428855717,-4.236412744,0.839346,0.031439394,-0.460006679,-0.887915455,0,-2.048799047
3,-12.437222279,-4.254337562,0.839346,0.051220659,-0.413410973,-0.910544544,0,-1.996993298
4,-12.438293568,-4.257199768,0.839346,0.054276781,-0.263034517,-0.964786423,0,-1.836962461
5,-12.443902226,-4.278838996,0.839346,0.076631048,-0.17994258,-0.983677116,0,-1.751724405
6,-12.445032915,-4.294041192,0.839346,0.091875234,0.062495508,-0.998045245,0,-1.508260065
7,-12.441329563,-4.3199241,0.839346,0.11802174,0.202513274,-0.979279518,0,-1.366872632
8,-12.436963198,-4.333063365,0.839346,0.131867513,0.359346109,-0.933204358,0,-1.203229222
9,-12.431670123,-4.345009195,0.839346,0.14493348,0.423010828,-0.906124627,0,-1.134030821
10,-12.428749296,-4.350658233,0.839346,0.15129295,0.493684959,-0.869640823,0,-1.054474311
11,-12.421323506,-4.363235071,0.839346,0.165898402,0.543450846,-0.839440991,0,-0.996253776
12,-12.41106871,-4.377968538,0.839346,0.183849332,0.57126823,-0.820763431,0,-0.962746118
