index,x,y,z,s,tx,ty,tz,yaw
0,-12.414561598,-3.949959016,0.839346,0,0.595753481,-0.803167349,0,-0.932592867
1,-12.400046984,-3.969526949,0.839346,0.024363457,0.484873418,-0.874584341,0,-1.064577899
2,-12.386138029,-4.001227673,0.839346,0.058981298,0.29500585,-0.955495447,0,-1.271334686
3,-12.380156043,-4.033951786,0.839346,0.092247673,0.064977157,-0.997886752,0,-1.505773361
4,-12.379951103,-4.096243396,0.839346,0.15453962,0.003289994,-0.999994588,0,-1.567506327
5,-12.379853816,-4.125813732,0.839346,0.184110116,0.003102984,-0.999995186,0,-1.567693338
6,-12.379847189,-4.129731633,0.839346,0.188028023,-0.077811696,-0.996968074,0,-1.648686758
7,-12.38238864,-4.158291349,0.839346,0.216700594,-0.268355098,-0.963320062,0,-1.842481417
8,-12.396781433,-4.190520854,0.839346,0.251997811,-0.491074331,-0.871117673,0,-2.084118931
9,-12.411620846,-4.210146414,0.839346,0.276602095,-0.603123146,-0.797648087,0,-2.21820711
