index,x,y,z,s,tx,ty,tz,yaw
0,-14.170829572,-4.461813691,0.839346,0,-0.139648947,0.990201076,0,1.710903206
1,-14.17280368,-4.447815997,0.839346,0.014136214,-0.194075896,0.980986517,0,1.766111674
2,-14.177324524,-4.428983961,0.839346,0.03350329,-0.281239798,0.959637523,0,1.855882136
3,-14.182761847,-4.413837054,0.839346,0.049596557,-0.393906801,0.919150386,0,1.975674516
4,-14.19085917,-4.397401933,0.839346,0.067918125,-0.542204206,0.840246749,0,2.143854507
5,-14.210788701,-4.370404207,0.839346,0.101474994,-0.692270202,0.721638391,0,2.335426551
6,-14.241959159,-4.344134128,0.839346,0.142239126,-0.798498469,0.60199684,0,2.495593152
7,-14.261601037,-4.332096224,0.839346,0.165276367,-0.864738645,0.502222138,0,2.615426068
8,-14.272841569,-4.32619827,0.839346,0.17797028,-0.905293662,0.424786282,0,2.702866857
9,-14.298127955,-4.314956886,0.839346,0.20564283,-0.91377145,0.406228676,0,2.723269603
