index,x,y,z,s,tx,ty,tz,yaw
0,-14.296344749,-3.841906069,0.839346,0,0.915598855,0.402092946,0,0.413801578
1,-14.269039005,-3.829914522,0.839346,0.029822824,0.891224698,0.453562055,0,0.470758102
2,-14.243699638,-3.81511392,0.839346,0.059168034,0.858768072,0.512364518,0,0.537935919
3,-14.239994258,-3.812585631,0.839346,0.063653799,0.801284572,0.598283407,0,0.64135709
4,-14.22489395,-3.801072553,0.839346,0.082642487,0.770383161,0.637581199,0,0.691354433
5,-14.212698268,-3.789995042,0.839346,0.099118102,0.726216896,0.68746565,0,0.757993464
6,-14.20733198,-3.784447698,0.839346,0.106836268,0.659411414,0.751782274,0,0.850760756
7,-14.196802467,-3.771872545,0.839346,0.123237643,0.608694574,0.793404635,0,0.916382123
8,-14.189549681,-3.761269311,0.839346,0.1360841,0.535604837,0.844468743,0,1.005572508
9,-14.184935474,-3.753162286,0.839346,0.14541227,0.470925285,0.882173098,0,1.080456972
10,-14.181853406,-3.746852061,0.839346,0.152434954,0.370243689,0.928934664,0,1.191524988
11,-14.175169723,-3.728660197,0.839346,0.171815758,0.22848575,0.973547257,0,1.340274323
12,-14.170018796,-3.69642637,0.839346,0.204458546,0.157796801,0.987471604,0,1.412337225
