index,x,y,z,s,tx,ty,tz,yaw
0,-12.63466693,-3.864864947,0.839346,0,0.997530531,-0.070234179,0,-0.07029205
1,-12.582036296,-3.868570567,0.839346,0.052760925,0.990223163,-0.13949225,0,-0.139948633
2,-12.532345279,-3.879278947,0.839346,0.103592672,0.953927172,-0.300038248,0,-0.304732749
3,-12.476756458,-3.901684183,0.839346,0.1635269,0.889871596,-0.456211072,0,-0.473732691
4,-12.436628655,-3.928350054,0.839346,0.211706867,0.789960876,-0.613157251,0,-0.660051139
5,-12.414561598,-3.949959016,0.839346,0.242592175,0.714483954,-0.699651827,0,-0.774910074
