index,x,y,z
0,-12.411068709521,-4.377968538178,0.839346
1,-12.396097937844,-4.398269494052,0.839346
2,-12.383009698128,-4.429851305288,0.839346
3,-12.378745522362,-4.462679957757,0.839346
4,-12.376883049869,-4.493128342239,0.839346
5,-12.376791734114,-4.521253761324,0.839346
6,-12.376680285129,-4.554758750382,0.839346
7,-12.380977930474,-4.587076938431,0.839346
8,-12.395372717801,-4.618700359989,0.839346
9,-12.420925374873,-4.647265993814,0.839346
10,-12.451479963739,-4.672050582405,0.839346
11,-12.490091093074,-4.69358654088,0.839346
12,-12.532124330079,-4.709623072572,0.839346
13,-12.580681209648,-4.718039739969,0.839346
14,-12.62844907139,-4.721181326156,0.839346
15,-12.675701579522,-4.721158485002,0.839346
16,-12.725585842321,-4.721134371697,0.839346
17,-12.850726230344,-4.721073880708,0.839346
18,-12.992406370399,-4.721005394651,0.839346
19,-13.107985522546,-4.720972135311,0.839346
20,-13.224886534709,-4.720893017223,0.839346
21,-13.501283320143,-4.720759411158,0.839346
22,-13.754520393407,-4.720637000152,0.839346
23,-13.870633945996,-4.7205808726,0.839346
24,-13.913420005617,-4.72056019046,0.839346
25,-13.966899285805,-4.714446643007,0.839346
26,-14.008831934196,-4.705124128147,0.839346
27,-14.054269347948,-4.688611820537,0.839346
28,-14.092091337266,-4.671257535449,0.839346
29,-14.125733006866,-4.646441915348,0.839346
30,-14.150145520107,-4.616432039302,0.839346
31,-14.163340364004,-4.585183425901,0.839346
32,-14.170125249358,-4.522366785152,0.839346
33,-14.170829572493,-4.461813691179,0.839346
