index,x,y,z
0,-14.042453383596,-3.840708114815,0.839346
1,-14.011644952528,-3.850106298198,0.839346
2,-13.965464245929,-3.859905960272,0.839346
3,-13.916803872733,-3.863200809051,0.839346
4,-13.871136134594,-3.864391215252,0.839346
5,-13.825915467471,-3.8642891152,0.839346
6,-13.777493529929,-3.864436480684,0.839346
7,-13.706939344427,-3.864346626475,0.839346
8,-13.572157923985,-3.864411777795,0.839346
9,-13.500654165723,-3.86444634164,0.839346
10,-13.410167108806,-3.864490081727,0.839346
11,-13.302265606682,-3.864542239697,0.839346
12,-13.159560594468,-3.864611221162,0.839346
13,-13.076040612742,-3.864651593469,0.839346
14,-12.996776250159,-3.864689908675,0.839346
15,-12.933513613356,-3.864720488885,0.839346
16,-12.844073412148,-3.864763722938,0.839346
17,-12.767472287491,-3.864800750774,0.839346
18,-12.697305657305,-3.864834668272,0.839346
19,-12.634666929685,-3.864864946894,0.839346
