Time,Fz,Mz
1.99748,0.637456,-2.58348
2.00782,0.735196,-2.53204
2.01936,0.704331,-2.55776
2.02977,0.694042,-2.54747
2.04016,0.637456,-2.56805
2.05053,0.642601,-2.62464
2.06093,0.807214,-2.48059
2.07254,0.642601,-2.58348
2.08247,0.735196,-2.54233
2.09245,0.714619,-2.55262
2.10242,0.709475,-2.54233
2.11238,0.694042,-2.57319
2.12355,0.694042,-2.55776
2.13238,0.704331,-2.59892
2.14239,0.709475,-2.48059
2.15248,0.622024,-2.60406
2.16244,0.714619,-2.52175
2.17355,0.67861,-2.55262
2.18243,0.699186,-2.54747
2.19255,0.724907,-2.52175
2.20238,0.637456,-2.58863
2.21234,0.658033,-2.64007
2.22354,0.735196,-2.49603
2.23232,0.642601,-2.6092
2.24237,0.714619,-2.50632
2.25234,0.694042,-2.55776
2.26237,0.694042,-2.54747
2.2736,0.709475,-2.55776
2.28237,0.745484,-2.52175
2.29236,0.745484,-2.52689
2.3023,0.683754,-2.62978
2.31236,0.74034,-2.50632
2.32351,0.637456,-2.55776
2.33236,0.668321,-2.61435
2.34233,0.735196,-2.52175
2.35232,0.688898,-2.54233
2.36235,0.688898,-2.54233
2.37349,0.755772,-2.55262
2.38236,0.673466,-2.55776
2.39233,0.601447,-2.64007
2.40233,0.771205,-2.44973
2.41231,0.719763,-2.50632
2.42369,0.724907,-2.54233
2.43244,0.724907,-2.5166
2.44233,0.694042,-2.5629
2.45246,0.699186,-2.57319
2.46268,0.745484,-2.53204
2.47367,0.730051,-2.50117
2.48245,0.61688,-2.62978
2.49239,0.781493,-2.52175
2.5026,0.683754,-2.52175
2.5126,0.642601,-2.58348
2.52383,0.735196,-2.50632
2.53244,0.719763,-2.54747
2.54244,0.735196,-2.55262
2.55243,0.766061,-2.54233
2.56242,0.766061,-2.50632
2.57362,0.704331,-2.53718
2.58244,0.719763,-2.56805
2.5924,0.781493,-2.47031
2.60244,0.642601,-2.58863
2.61238,0.683754,-2.61949
2.62356,0.714619,-2.55776
2.63235,0.67861,-2.55776
2.64234,0.683754,-2.54233
2.65237,0.755772,-2.52175
2.6623,0.647745,-2.5629
2.6735,0.658033,-2.62464
2.68257,0.776349,-2.46002
2.69242,0.688898,-2.54747
2.70247,0.724907,-2.53718
2.7126,0.709475,-2.50117
2.72352,0.699186,-2.53718
2.73241,0.683754,-2.5629
2.74244,0.714619,-2.49603
2.75242,0.652889,-2.5629
2.76276,0.709475,-2.58348
2.77355,0.807214,-2.49603
2.78233,0.694042,-2.61949
2.79236,0.67861,-2.60406
2.80231,0.709475,-2.52175
2.81235,0.688898,-2.5629
2.82356,0.699186,-2.5629
2.83236,0.74034,-2.50117
2.84234,0.622024,-2.59892
2.85234,0.704331,-2.62978
2.86236,0.776349,-2.48059
2.87347,0.673466,-2.57834
2.88236,0.673466,-2.60406
2.89234,0.74034,-2.52175
2.90237,0.694042,-2.54233
2.91231,0.688898,-2.54747
2.92404,0.714619,-2.55776
2.93251,0.766061,-2.52689
2.94241,0.642601,-2.64007
2.95247,0.688898,-2.60406
2.96276,0.673466,-2.52689
2.97371,0.663177,-2.59377
2.9824,0.730051,-2.54747
2.99233,0.719763,-2.52175
3.00231,0.704331,-2.55776
3.01271,0.714619,-2.53204
3.02366,0.74034,-2.47545
3.03251,0.637456,-2.62464
3.04232,0.817502,-2.49603
3.05233,0.771205,-2.47031
3.06234,0.642601,-2.60406
3.07366,0.709475,-2.56805
3.08239,0.709475,-2.58348
