Time,Fz,Mz
0.00398948,0.822647,-2.53718
0.0140813,0.822647,-2.61949
0.0240853,0.832935,-2.55776
0.0342955,0.822647,-2.64521
0.0446295,0.817502,-2.53204
0.0546958,0.812358,-2.61949
0.0646125,0.838079,-2.54747
0.0745926,0.781493,-2.55776
0.084813,0.904953,-2.57834
0.0945633,0.812358,-2.58348
0.10462,0.776349,-2.48574
0.114609,0.889521,-2.5629
0.124719,0.838079,-2.60406
0.134726,0.771205,-2.55262
0.145093,0.781493,-2.52175
0.154641,0.791782,-2.71724
0.16457,0.755772,-2.61435
0.174608,0.832935,-2.57834
0.184782,0.827791,-2.57834
0.194643,0.786637,-2.54747
0.204583,0.781493,-2.58348
0.214711,0.791782,-2.56805
0.224672,0.791782,-2.68123
0.234656,0.637456,-2.70695
0.244736,0.868944,-2.64521
0.25476,0.760916,-2.50632
0.264697,0.714619,-2.71724
0.274733,0.67861,-2.54747
0.284673,0.776349,-2.56805
0.294537,0.719763,-2.73267
0.304624,0.658033,-2.64007
0.314707,0.709475,-2.7481
0.324768,0.622024,-2.7018
0.334808,0.668321,-2.71209
0.344784,0.658033,-2.76354
0.355168,0.647745,-2.57319
0.365156,0.663177,-2.72753
0.374767,0.67861,-2.60406
0.384978,0.688898,-2.59377
0.394529,0.858656,-2.59377
0.404895,0.843223,-2.51146
0.41466,0.904953,-2.59377
0.424623,0.668321,-2.60406
0.434616,0.791782,-2.61949
0.444603,0.791782,-2.65036
0.454586,0.652889,-2.6555
0.464539,0.868944,-2.5629
0.474717,0.67861,-2.69151
0.484711,0.822647,-2.57319
0.494492,0.606591,-2.78926
0.504667,0.796926,-2.53718
0.514713,0.642601,-2.77382
0.524545,0.771205,-2.59377
0.534609,0.838079,-2.55262
0.544485,0.714619,-2.69666
0.554562,0.874088,-2.50117
0.564748,0.791782,-2.62978
0.574746,0.879232,-2.57319
0.584726,0.755772,-2.61435
0.59469,0.796926,-2.74296
0.604573,0.771205,-2.50117
0.614515,0.745484,-2.67608
0.624764,0.832935,-2.54747
0.634729,0.668321,-2.68123
0.644711,0.910097,-2.56805
0.654775,0.735196,-2.47545
0.664812,0.755772,-2.54233
0.67476,0.827791,-2.62978
0.684703,0.745484,-2.50117
0.694655,0.817502,-2.57834
0.704771,0.843223,-2.54233
0.714737,0.807214,-2.62978
0.724782,0.843223,-2.64521
0.734749,0.632312,-2.7018
0.744575,0.668321,-2.72753
0.754674,0.730051,-2.73267
0.764634,0.591159,-2.66065
0.774727,0.652889,-2.71209
0.784546,0.663177,-2.75839
0.794581,0.719763,-2.54747
0.804774,0.791782,-2.5629
0.814643,0.915242,-2.59377
0.824704,0.853512,-2.43429
0.834699,0.812358,-2.61435
0.84462,0.874088,-2.65036
0.854699,0.771205,-2.54747
0.864534,0.668321,-2.5629
0.874776,0.796926,-2.66579
0.884605,0.889521,-2.56805
0.894613,0.637456,-2.61435
0.904735,0.750628,-2.69151
0.91464,0.889521,-2.46002
0.924756,0.668321,-2.62978
0.934752,0.879232,-2.6555
0.944577,0.760916,-2.53718
0.954702,0.658033,-2.70695
0.964655,0.853512,-2.59377
0.974591,0.658033,-2.61949
0.984815,0.745484,-2.50117
0.994681,0.791782,-2.5629
1.00475,0.822647,-2.58863
1.01468,0.786637,-2.53204
1.0247,0.755772,-2.61949
1.03476,0.688898,-2.73267
1.04459,0.622024,-2.68637
1.05472,0.750628,-2.56805
1.06468,0.951251,-2.5166
1.0747,0.791782,-2.55262
1.08457,0.8638,-2.41372
1.0946,0.832935,-2.62978
1.10469,0.874088,-2.6092
1.11469,0.673466,-2.51146
1.12464,0.652889,-2.62464
1.13483,0.807214,-2.70695
1.14474,0.848367,-2.52175
1.15475,0.627168,-2.6092
1.16472,0.709475,-2.7018
1.17471,0.688898,-2.71209
1.18478,0.714619,-2.59892
1.19462,0.786637,-2.57319
1.20473,0.750628,-2.70695
1.21472,0.843223,-2.50117
1.22468,0.781493,-2.54233
1.23465,0.745484,-2.67094
1.24474,0.838079,-2.57834
1.25474,0.781493,-2.50117
1.26469,0.791782,-2.62978
1.27464,0.817502,-2.62978
1.28464,0.796926,-2.73267
1.29476,0.709475,-2.65036
1.30479,0.622024,-2.6092
1.31467,0.766061,-2.58348
1.32461,0.930674,-2.52175
1.33469,0.868944,-2.57834
1.34463,0.642601,-2.69151
1.35483,0.719763,-2.63493
1.36473,0.812358,-2.57319
1.37472,0.745484,-2.76868
1.38479,0.827791,-2.62464
1.39468,0.848367,-2.47031
1.40466,0.771205,-2.52175
1.41468,0.776349,-2.56805
1.42477,0.822647,-2.58348
1.43467,0.709475,-2.7481
1.44459,0.622024,-2.7018
1.45472,0.74034,-2.49603
1.46463,0.868944,-2.46002
1.47472,0.838079,-2.6092
1.48465,0.760916,-2.70695
1.49466,0.750628,-2.67608
1.50476,0.812358,-2.50632
1.51475,0.673466,-2.51146
1.5247,0.622024,-2.71209
1.53465,0.961539,-2.57319
1.54468,0.786637,-2.57834
1.55473,0.663177,-2.57319
1.56472,0.80207,-2.62464
1.5746,0.843223,-2.66579
1.5847,0.760916,-2.67094
1.59463,0.642601,-2.6092
1.60471,0.663177,-2.52175
