Time,Fz,Mz
0.000229952,-0.689739,-2.64007
0.0104216,-0.797767,-2.6092
0.0205459,-0.746325,-2.71209
0.0306686,-0.818344,-2.72753
0.0421484,-0.730893,-2.61949
0.0506281,-0.751469,-2.65036
0.0606172,-0.628009,-2.64521
0.0706631,-0.643442,-2.59892
0.0806784,-0.818344,-2.66065
0.0922317,-0.571424,-2.52175
0.100677,-0.684595,-2.53204
0.110664,-0.638298,-2.50117
0.120715,-0.581712,-2.58348
0.130639,-0.561135,-2.57834
0.142296,-0.720604,-2.61949
0.150703,-0.679451,-2.5629
0.160604,-0.83892,-2.68637
0.170618,-0.545703,-2.39314
0.180658,-0.561135,-2.43944
0.192261,-0.730893,-2.68637
0.200604,-0.849209,-2.83041
0.210641,-0.566279,-2.60406
0.220593,-0.633154,-2.54233
0.230622,-0.694884,-2.64007
0.242141,-0.705172,-2.67608
0.250618,-0.679451,-2.59892
0.260745,-0.658874,-2.5166
0.270686,-0.71546,-2.57319
0.280741,-0.746325,-2.64007
0.292202,-0.700028,-2.66065
0.300653,-0.633154,-2.57834
0.310657,-0.741181,-2.56805
0.320731,-0.8132,-2.7018
0.33062,-0.705172,-2.63493
0.342184,-0.741181,-2.64007
0.350616,-0.694884,-2.58863
0.36062,-0.65373,-2.63493
0.370741,-0.705172,-2.61435
0.380629,-0.689739,-2.58348
0.392313,-0.669163,-2.58863
0.40066,-0.766902,-2.64007
0.410656,-0.705172,-2.68123
0.420754,-0.65373,-2.68123
0.430671,-0.710316,-2.5629
0.442238,-0.710316,-2.49088
0.450635,-0.741181,-2.7481
0.460731,-0.694884,-2.72753
0.470659,-0.689739,-2.67608
0.480586,-0.658874,-2.54233
0.492062,-0.658874,-2.56805
0.500704,-0.664019,-2.53718
0.51069,-0.694884,-2.62978
0.520711,-0.705172,-2.64007
0.530708,-0.746325,-2.68637
0.542234,-0.756614,-2.74296
0.550688,-0.576568,-2.55776
0.560643,-0.633154,-2.55776
0.570637,-0.638298,-2.64007
0.580743,-0.700028,-2.61949
0.592399,-0.802911,-2.73781
0.600661,-0.797767,-2.72238
0.610715,-0.689739,-2.58863
0.620623,-0.581712,-2.48574
0.63062,-0.622865,-2.53204
0.642302,-0.71546,-2.61949
0.650615,-0.916083,-2.76354
0.660683,-0.602289,-2.58348
0.67067,-0.8132,-2.69151
0.680714,-0.694884,-2.60406
0.692377,-0.746325,-2.71209
0.700704,-0.741181,-2.70695
0.710711,-0.782335,-2.7481
0.720683,-0.90065,-2.74296
0.730739,-0.684595,-2.58348
0.742219,-0.705172,-2.57319
0.750683,-0.705172,-2.61949
0.760668,-0.694884,-2.53718
0.770752,-0.766902,-2.71209
0.780651,-0.710316,-2.66065
0.793356,-0.710316,-2.61949
0.800654,-0.689739,-2.68637
0.810711,-0.700028,-2.65036
0.820686,-0.736037,-2.6555
0.830724,-0.684595,-2.61949
0.842214,-0.720604,-2.56805
0.850717,-0.664019,-2.61435
