0.000000, e
0.000723, f1
0.001029, f2
0.004731, f1
0.005037, f2
0.007159, f1
0.008861, f1
0.009163, f2
0.012750, f1
0.013045, f2
0.016809, f1
0.017116, f2
0.020795, f1
0.021100, f2
0.024822, f1
0.025121, f2
0.028763, f1
0.029068, f2
0.032798, f1
0.033093, f2
0.036808, f1
0.037113, f2
0.040787, f1
0.041089, f2
0.044807, f1
0.045115, f2
0.048792, f1
0.049100, f2
0.052756, f1
0.053056, f2
0.056808, f1
0.057111, f2
0.060793, f1
0.061100, f2
0.064847, f1
0.065143, f2
0.068793, f1
0.069098, f2
0.072796, f1
0.073100, f2
0.076784, f1
0.077091, f2
0.077401, f1
0.080817, f1
0.081127, f2
0.084971, f1
0.084973, f2
0.088846, f1
0.089142, f2
0.092804, f1
0.093096, f2
0.096782, f1
0.097091, f2
0.100932, f1
0.100934, f2
0.104815, f1
0.105121, f2
0.108766, f1
0.109062, f2
0.112902, f1
0.112904, f2
0.116785, f1
0.117080, f2
0.120916, f1
0.120918, f2
0.124782, f1
0.125109, f2
0.128768, f1
0.129059, f2
0.132822, f1
0.132825, f2
0.136719, f1
0.136999, f2
0.140763, f1
0.141068, f2
0.144760, f1
0.145055, f2
0.148755, f1
0.149048, f2
0.152798, f1
0.153072, f2
0.156749, f1
0.157052, f2
0.157361, f1
0.160775, f1
0.161084, f2
0.164743, f1
0.165041, f2
0.168769, f1
0.169078, f2
0.172732, f1
0.173038, f2
0.176899, f1
0.176902, f2
0.180673, f1
0.180971, f2
0.184765, f1
0.185074, f2
0.188936, f1
0.188938, f2
0.192731, f1
0.193038, f2
0.196722, f1
0.197001, f2
0.200752, f1
0.201047, f2
0.204650, f1
0.204947, f2
0.208704, f1
0.209008, f2
0.212692, f1
0.212997, f2
0.216703, f1
0.217004, f2
0.220670, f1
0.220968, f2
0.224675, f1
0.225002, f2
0.228638, f1
0.228950, f2
0.232667, f1
0.232965, f2
0.236638, f1
0.236908, f2
0.237498, f1
0.240740, f1
0.241050, f2
0.244620, f1
0.244912, f2
0.248710, f1
0.249016, f2
0.252663, f1
0.252965, f2
0.256621, f1
0.256949, f2
0.260679, f1
0.261061, f2
0.264728, f1
0.265021, f2
0.268642, f1
0.268897, f2
0.272631, f1
0.272924, f2
0.276614, f1
0.276922, f2
0.280626, f1
0.280919, f2
0.284662, f1
0.284966, f2
0.288637, f1
0.288940, f2
0.292661, f1
0.292952, f2
0.296702, f1
0.296993, f2
0.300677, f1
0.300976, f2
0.304680, f1
0.304986, f2
0.308581, f1
0.308886, f2
0.312681, f1
0.312977, f2
0.316664, f1
0.317047, f2
0.317416, f1
0.320622, f1
0.320920, f2
0.324670, f1
0.325043, f2
0.328625, f1
0.328925, f2
0.332599, f1
0.332917, f2
0.336665, f1
0.336965, f2
0.340650, f1
0.341041, f2
0.344698, f1
0.345006, f2
0.348613, f1
0.348888, f2
0.352638, f1
0.353021, f2
0.356598, f1
0.356952, f2
0.360650, f1
0.360944, f2
0.364646, f1
0.365041, f2
0.368637, f1
0.369041, f2
0.372620, f1
0.372925, f2
0.376671, f1
0.377053, f2
0.380583, f1
0.380895, f2
0.384639, f1
0.384933, f2
0.388620, f1
0.388923, f2
0.392619, f1
0.392982, f2
0.396626, f1
0.396918, f2
0.397235, f1
0.400586, f1
0.400883, f2
0.404621, f1
0.405009, f2
0.408592, f1
0.408891, f2
0.412556, f1
0.412866, f2
0.416589, f1
0.416950, f2
0.420621, f1
0.420963, f2
0.424615, f1
0.424972, f2
0.428612, f1
0.428987, f2
0.432594, f1
0.432903, f2
0.436546, f1
0.436844, f2
0.440621, f1
0.440977, f2
0.444617, f1
0.444960, f2
0.448610, f1
0.448962, f2
0.452603, f1
0.452949, f2
0.456653, f1
0.457071, f2
0.460569, f1
0.460875, f2
0.464603, f1
0.465016, f2
0.468591, f1
0.468893, f2
0.472633, f1
0.472993, f2
0.476569, f1
0.476974, f2
0.477326, f1
0.480603, f1
0.480978, f2
0.484570, f1
0.484859, f2
0.488652, f1
0.488976, f2
0.492630, f1
0.493013, f2
0.496584, f1
0.496957, f2
0.500563, f1
0.500944, f2
0.504618, f1
0.505032, f2
0.508613, f1
0.508911, f2
0.512489, f1
0.512789, f2
0.516565, f1
0.516943, f2
0.520587, f1
0.520972, f2
0.524576, f1
0.524947, f2
0.528557, f1
0.528929, f2
0.532563, f1
0.532949, f2
0.536492, f1
0.536793, f2
0.540515, f1
0.540816, f2
0.544576, f1
0.544952, f2
0.548559, f1
0.548940, f2
0.552587, f1
0.552870, f2
0.556552, f1
0.556920, f2
0.557282, f1
0.560564, f1
0.560871, f2
0.564518, f1
0.564826, f2
0.568587, f1
0.568942, f2
0.572547, f1
0.572853, f2
0.576535, f1
0.576838, f2
0.580527, f1
0.580831, f2
0.584539, f1
0.584830, f2
0.588496, f1
0.588795, f2
0.592564, f1
0.592851, f2
0.596549, f1
0.596857, f2
0.600528, f1
0.600831, f2
0.604528, f1
0.604879, f2
0.608509, f1
0.608793, f2
0.612457, f1
0.612763, f2
0.616537, f1
0.616925, f2
0.620422, f1
0.620721, f2
0.624517, f1
0.624822, f2
0.628513, f1
0.628913, f2
0.632496, f1
0.632862, f2
0.636443, f1
0.636719, f2
0.637318, f1
0.640540, f1
0.640845, f2
0.644528, f1
0.644918, f2
0.648503, f1
0.648908, f2
0.652492, f1
0.652874, f2
0.656503, f1
0.656885, f2
0.660491, f1
0.660798, f2
0.664451, f1
0.664742, f2
0.668399, f1
0.668716, f2
0.672455, f1
0.672782, f2
0.676477, f1
0.676829, f2
0.680445, f1
0.680743, f2
0.684411, f1
0.684739, f2
0.688479, f1
0.688790, f2
0.692468, f1
0.692772, f2
0.696501, f1
0.696806, f2
0.700414, f1
0.700712, f2
0.704437, f1
0.704741, f2
0.708402, f1
0.708705, f2
0.712471, f1
0.712760, f2
0.716481, f1
0.716788, f2
0.717092, f1
0.720499, f1
0.720804, f2
0.724463, f1
0.724836, f2
0.728586, f1
0.728909, f2
0.732404, f1
0.732718, f2
0.736389, f1
0.736691, f2
0.740412, f1
0.740711, f2
0.744435, f1
0.744738, f2
0.748416, f1
0.748720, f2
0.752380, f1
0.752685, f2
0.756382, f1
0.756693, f2
0.760464, f1
0.760771, f2
0.764447, f1
0.764751, f2
0.768416, f1
0.768716, f2
0.772442, f1
0.772746, f2
0.776412, f1
0.776719, f2
0.780386, f1
0.780690, f2
0.784368, f1
0.784678, f2
0.788475, f1
0.788780, f2
0.792417, f1
0.792719, f2
0.796499, f1
0.796808, f2
0.797104, f1
0.800482, f1
0.800868, f2
0.804461, f1
0.804843, f2
0.808515, f1
0.808839, f2
0.812550, f1
0.812913, f2
0.816477, f1
0.816888, f2
0.820444, f1
0.820836, f2
0.824505, f1
0.824894, f2
0.828440, f1
0.828760, f2
0.832475, f1
0.832768, f2
0.836385, f1
0.836742, f2
0.840410, f1
0.840717, f2
0.844453, f1
0.844815, f2
0.848354, f1
0.848648, f2
0.852391, f1
0.852788, f2
0.856454, f1
0.856752, f2
0.860382, f1
0.860686, f2
0.864429, f1
0.864829, f2
0.868360, f1
0.868661, f2
0.872435, f1
0.872827, f2
0.876435, f1
0.876436, f2
0.877065, f1
0.880416, f1
0.880803, f2
0.884412, f1
0.884825, f2
0.888428, f1
0.888740, f2
0.892368, f1
0.892655, f2
0.896428, f1
0.896429, f2
0.900304, f1
0.900680, f2
0.904443, f1
0.904837, f2
0.908408, f1
0.908672, f2
0.912341, f1
0.912711, f2
0.916312, f1
0.916697, f2
0.920387, f1
0.920769, f2
0.924408, f1
0.924687, f2
0.928395, f1
0.928398, f2
0.932375, f1
0.932750, f2
0.936380, f1
0.936745, f2
0.940448, f1
0.940450, f2
0.944338, f1
0.944721, f2
0.948357, f1
0.948740, f2
0.952445, f1
0.952447, f2
0.956386, f1
0.956759, f2
0.957147, f1
0.960393, f1
0.960663, f2
0.964416, f1
0.964721, f2
0.968394, f1
0.968773, f2
0.972334, f1
0.972706, f2
0.976413, f1
0.976795, f2
0.980372, f1
0.980752, f2
0.984459, f1
0.984772, f2
0.988305, f1
0.988607, f2
0.992371, f1
0.992372, f2
0.996368, f1
0.996749, f2
1.000424, f1
1.000426, f2
1.004393, f1
1.004777, f2
1.008364, f1
1.008732, f2
1.012367, f1
1.012736, f2
1.016330, f1
1.016696, f2
1.020271, f1
1.020531, f2
1.024327, f1
1.024710, f2
1.028337, f1
1.028701, f2
1.032339, f1
1.032715, f2
1.036444, f1
1.036446, f2
1.036957, f1
1.040381, f1
1.040666, f2
1.044363, f1
1.044711, f2
1.048353, f1
1.048756, f2
1.052300, f1
1.052628, f2
1.056326, f1
1.056707, f2
1.060234, f1
1.060530, f2
1.064277, f1
1.064578, f2
1.068229, f1
1.068506, f2
1.072341, f1
1.072342, f2
1.076356, f1
1.076748, f2
1.080329, f1
1.080708, f2
1.084249, f1
1.084545, f2
1.088249, f1
1.088541, f2
1.092249, f1
1.092550, f2
1.096285, f1
1.096683, f2
1.100265, f1
1.100520, f2
1.104221, f1
1.104501, f2
1.108271, f1
1.108624, f2
1.112352, f1
1.112354, f2
1.116336, f1
1.116338, f2
1.117035, f1
1.120243, f1
1.120630, f2
1.124282, f1
1.124644, f2
1.128375, f1
1.128377, f2
1.132413, f1
1.132415, f2
1.136290, f1
1.136656, f2
1.140215, f1
1.140582, f2
1.144384, f1
1.144385, f2
1.148280, f1
1.148633, f2
1.152222, f1
1.152575, f2
1.156290, f1
1.156661, f2
1.160345, f1
1.160346, f2
1.164331, f1
1.164333, f2
1.168275, f1
1.168634, f2
1.172268, f1
1.172627, f2
1.176356, f1
1.176715, f2
1.180251, f1
1.180610, f2
1.184292, f1
1.184694, f2
1.188296, f1
1.188297, f2
1.192312, f1
1.192718, f2
1.196271, f1
1.196630, f2
1.196993, f1
1.200312, f1
1.200314, f2
1.204226, f1
1.204520, f2
1.208280, f1
1.208686, f2
1.212213, f1
1.212582, f2
1.216230, f1
1.216519, f2
1.220247, f1
1.220607, f2
1.224231, f1
1.224613, f2
1.228270, f1
1.228629, f2
1.232266, f1
1.232662, f2
1.236239, f1
1.236624, f2
1.240192, f1
1.240587, f2
1.244193, f1
1.244573, f2
1.248240, f1
1.248616, f2
1.252212, f1
1.252530, f2
1.256269, f1
1.256580, f2
1.260203, f1
1.260517, f2
1.264216, f1
1.264496, f2
1.268164, f1
1.268525, f2
1.272265, f1
1.272617, f2
1.276195, f1
1.276567, f2
1.276904, f1
1.280196, f1
1.280573, f2
1.284205, f1
1.284547, f2
1.288229, f1
1.288603, f2
1.292194, f1
1.292563, f2
1.296182, f1
1.296557, f2
1.300193, f1
1.300616, f2
1.304177, f1
1.304543, f2
1.308191, f1
1.308617, f2
1.312210, f1
1.312567, f2
1.316182, f1
1.316528, f2
1.320221, f1
1.320488, f2
1.324190, f1
1.324574, f2
1.328135, f1
1.328508, f2
1.332142, f1
1.332522, f2
1.336224, f1
1.336570, f2
1.340111, f1
1.340414, f2
1.344176, f1
1.344515, f2
1.348139, f1
1.348512, f2
1.352226, f1
1.352227, f2
1.356109, f1
1.356416, f2
1.356741, f1
1.360128, f1
1.360511, f2
1.364147, f1
1.364442, f2
1.368136, f1
1.368441, f2
1.372108, f1
1.372480, f2
1.376154, f1
1.376520, f2
1.380058, f1
1.380430, f2
1.384218, f1
1.384634, f2
1.388177, f1
1.388538, f2
1.392190, f1
1.392581, f2
1.396167, f1
1.396513, f2
1.400099, f1
1.400471, f2
1.404113, f1
1.404477, f2
1.408194, f1
1.408539, f2
1.412146, f1
1.412522, f2
1.416109, f1
1.416478, f2
1.420098, f1
1.420400, f2
1.424141, f1
1.424532, f2
1.428143, f1
1.428144, f2
1.432171, f1
1.432562, f2
1.436139, f1
1.436517, f2
1.436804, f1
1.440093, f1
1.440377, f2
1.444130, f1
1.444539, f2
1.448154, f1
1.448542, f2
1.452136, f1
1.452508, f2
1.456139, f1
1.456493, f2
1.460133, f1
1.460495, f2
1.464138, f1
1.464523, f2
1.468040, f1
1.468340, f2
1.472276, f1
1.472278, f2
1.476088, f1
1.476471, f2
1.480134, f1
1.480511, f2
1.484243, f1
1.484245, f2
1.488340, f1
1.488342, f2
1.492152, f1
1.492153, f2
1.496232, f1
1.496235, f2
1.500126, f1
1.500500, f2
1.504148, f1
1.504582, f2
1.508161, f1
1.508539, f2
1.512076, f1
1.512365, f2
1.516113, f1
1.516468, f2
1.516791, f1
1.520065, f1
1.520355, f2
1.524030, f1
1.524399, f2
1.528318, f1
1.528320, f2
1.532025, f1
1.532357, f2
1.536157, f1
1.536159, f2
1.540083, f1
1.540403, f2
1.544129, f1
1.544507, f2
1.548066, f1
1.548442, f2
1.552207, f1
1.552209, f2
1.556065, f1
1.556431, f2
1.560115, f1
1.560508, f2
1.564069, f1
1.564375, f2
1.568049, f1
1.568429, f2
1.571981, f1
1.572272, f2
1.576082, f1
1.576441, f2
1.580044, f1
1.580434, f2
1.584035, f1
1.584411, f2
1.588073, f1
1.588450, f2
1.592082, f1
1.592465, f2
1.596042, f1
1.596479, f2
1.596796, f1
1.600027, f1
1.600368, f2
1.604191, f1
1.604193, f2
1.608036, f1
1.608410, f2
1.612053, f1
1.612448, f2
1.616031, f1
1.616349, f2
1.619976, f1
1.620263, f2
1.624054, f1
1.624457, f2
1.628042, f1
1.628451, f2
1.632023, f1
1.632397, f2
1.636190, f1
1.636192, f2
1.640069, f1
1.640374, f2
1.643940, f1
1.644228, f2
1.647977, f1
1.648288, f2
1.651949, f1
1.652423, f2
1.656219, f1
1.656221, f2
1.660020, f1
1.660387, f2
1.664056, f1
1.664437, f2
1.668040, f1
1.668403, f2
1.671984, f1
1.672267, f2
1.675969, f1
1.676299, f2
1.676699, f1
1.679982, f1
1.680355, f2
1.684029, f1
1.684437, f2
1.688047, f1
1.688443, f2
1.691940, f1
1.692356, f2
1.695986, f1
1.696372, f2
1.699968, f1
1.700339, f2
1.704036, f1
1.704421, f2
1.707965, f1
1.708348, f2
1.712069, f1
1.712070, f2
1.716144, f1
1.716146, f2
1.719949, f1
1.720343, f2
1.723901, f1
1.724228, f2
1.727976, f1
1.728365, f2
1.732017, f1
1.732324, f2
1.736016, f1
1.736445, f2
1.739961, f1
1.740329, f2
1.744012, f1
1.744397, f2
1.747892, f1
1.748176, f2
1.751997, f1
1.752419, f2
1.755978, f1
1.756376, f2
1.756771, f1
1.760008, f1
1.760416, f2
1.764078, f1
1.764079, f2
1.768002, f1
1.768386, f2
1.771952, f1
1.772401, f2
1.776123, f1
1.776126, f2
1.779977, f1
1.780318, f2
1.783990, f1
1.784419, f2
1.787960, f1
1.788368, f2
1.791948, f1
1.792353, f2
1.795990, f1
1.795991, f2
1.799999, f1
1.800000, f2
1.803961, f1
1.804373, f2
1.808103, f1
1.808105, f2
1.812025, f1
1.812409, f2
1.816155, f1
1.816157, f2
1.819901, f1
1.820171, f2
1.823971, f1
1.824367, f2
1.827968, f1
1.827969, f2
1.831964, f1
1.832362, f2
1.835982, f1
1.835984, f2
1.836702, f1
1.839997, f1
1.840400, f2
1.843983, f1
1.844379, f2
1.847998, f1
1.847999, f2
1.851914, f1
1.852219, f2
1.855932, f1
1.856350, f2
1.859942, f1
1.860361, f2
1.864009, f1
1.864396, f2
1.867890, f1
1.868212, f2
1.871914, f1
1.872328, f2
1.875923, f1
1.876285, f2
1.879892, f1
1.880180, f2
1.883933, f1
1.884242, f2
1.887992, f1
1.888409, f2
1.891880, f1
1.892164, f2
1.896008, f1
1.896010, f2
1.899921, f1
1.900294, f2
1.904060, f1
1.904062, f2
1.907864, f1
1.908186, f2
1.911865, f1
1.912163, f2
1.915849, f1
1.916149, f2
1.916460, f1
1.919930, f1
1.920357, f2
1.923926, f1
1.924406, f2
1.927830, f1
1.928115, f2
1.931882, f1
1.932179, f2
1.935905, f1
1.936295, f2
1.939877, f1
1.940161, f2
1.943964, f1
1.943965, f2
1.947900, f1
1.948301, f2
1.951896, f1
1.952246, f2
1.955864, f1
1.956161, f2
1.959974, f1
1.960316, f2
1.963860, f1
1.964159, f2
1.967960, f1
1.968376, f2
1.971920, f1
1.972339, f2
1.976076, f1
1.976078, f2
1.979817, f1
1.980117, f2
1.983882, f1
1.984287, f2
1.987882, f1
1.988294, f2
1.991933, f1
1.992394, f2
1.995893, f1
1.995894, f2
1.996642, f1
2.000060, f1
2.000062, f2
2.003898, f1
2.004236, f2
2.007819, f1
2.008122, f2
2.011794, f1
2.012088, f2
2.015876, f1
2.016173, f2
2.019857, f1
2.020165, f2
2.023860, f1
2.024226, f2
2.027809, f1
2.028102, f2
2.031830, f1
2.032130, f2
2.035856, f1
2.036240, f2
2.039895, f1
2.040276, f2
2.043783, f1
