time,dz
0,0
8,-0.00293893
12,0.00293893
17,0.00293893
21,0.00475528
26,0.00475528
31,0.00475528
35,-8.57253e-18
40,-9.79717e-18
44,-0.00475528
49,-0.00475528
53,-0.00293893
57,0.00293893
62,0.00293893
66,0.00475528
71,0.00475528
75,-5.38968e-17
80,-1.95943e-17
85,1.47081e-17
89,-0.00475528
94,-0.00475528
98,-0.00293893
102,0.00293893
107,0.00293893
111,0.00475528
116,0.00475528
121,0.00475528
125,4.91097e-18
129,-0.00475528
134,-0.00475528
138,-0.00293893
143,-0.00293893
147,0.00293893
152,0.00293893
156,0.00475528
161,0.00475528
165,-4.88621e-18
170,2.94163e-17
175,-7.83898e-17
179,-0.00475528
184,-0.00475528
188,-0.00293893
192,0.00293893
197,0.00293893
201,0.00475528
205,-1.56792e-16
210,1.96191e-17
214,-0.00475528
218,-0.00293893
222,0.00293893
227,0.00293893
231,0.00475528
235,4.9023e-17
239,-0.00475528
244,-0.00475528
248,-0.00293893
252,0.00293893
256,0.00475528
260,7.84269e-17
265,-2.93791e-17
269,-0.00475528
273,-0.00293893
278,-0.00293893
282,0.00293893
286,0.00475528
290,2.47592e-20
295,-1.07781e-16
299,-0.00475528
303,-0.00293893
308,-0.00293893
312,0.00293893
316,0.00475528
321,0.00475528
325,-1.86183e-16
330,-9.77242e-18
334,-0.00475528
338,-0.00293893
343,-0.00293893
347,0.00293893
352,0.00293893
356,0.00475528
361,0.00475528
365,-1.95981e-16
369,-0.00475528
374,-0.00475528
378,-0.00293893
382,0.00293893
387,0.00293893
391,0.00475528
396,0.00475528
400,-9.79717e-17
405,-2.05778e-16
409,-0.00475528
413,-0.00293893
418,-0.00293893
422,0.00293893
427,0.00293893
431,0.00475528
435,-2.8418e-16
440,-3.91986e-16
444,-0.00475528
449,-0.00475528
453,-0.00293893
457,0.00293893
462,0.00293893
466,0.00475528
471,0.00475528
476,0.00475528
480,-1.17566e-16
485,-2.25372e-16
489,-0.00475528
494,-0.00475528
498,-0.00293893
503,-0.00293893
508,-0.00293893
512,0.00293893
517,0.00293893
522,0.00293893
526,0.00475528
531,0.00475528
536,0.00475528
540,-2.7437e-16
545,-3.82176e-16
550,7.84517e-17
554,-0.00475528
559,-0.00475528
563,-0.00293893
568,-0.00293893
572,0.00293893
577,0.00293893
582,0.00293893
586,0.00475528
591,0.00475528
595,-3.23369e-16
600,-4.31175e-16
604,-0.00475528
609,-0.00475528
613,-0.00293893
618,-0.00293893
622,0.00293893
627,0.00293893
631,0.00475528
636,0.00475528
640,-1.56755e-16
644,-0.00475528
648,-0.00293893
653,-0.00293893
657,0.00293893
661,0.00475528
665,-1.27351e-16
670,-2.35157e-16
674,-0.00475528
678,-0.00293893
683,-0.00293893
687,0.00293893
691,0.00475528
695,-2.05753e-16
699,-0.00475528
704,-0.00475528
708,-0.00293893
712,0.00293893
717,0.00293893
721,0.00475528
726,0.00475528
730,-3.91961e-16
734,-0.00475528
739,-0.00475528
744,-0.00475528
748,-0.00293893
753,-0.00293893
757,0.00293893
762,0.00293893
766,0.00475528
771,0.00475528
775,-2.25347e-16
780,-3.33153e-16
784,-0.00475528
789,-0.00475528
793,-0.00293893
798,-0.00293893
802,0.00293893
807,0.00293893
811,0.00475528
816,0.00475528
820,-6.27168e-16
825,-7.34974e-16
829,-0.00475528
834,-0.00475528
838,-0.00293893
843,-0.00293893
848,-0.00293893
852,0.00293893
856,0.00475528
861,0.00475528
865,-4.60554e-16
870,-5.6836e-16
874,-0.00475528
879,-0.00475528
883,-0.00293893
888,-0.00293893
892,0.00293893
896,0.00475528
901,0.00475528
905,-1.86134e-16
910,-2.9394e-16
914,-0.00475528
918,-0.00293893
923,-0.00293893
