time,dz
8,-0.00293893
626,0.00475528
1000,3.92877e-17
1391,0.00475528
1919,-0.00475528
2397,0.00293893
2817,0.00293893
3257,0.00293893
3679,-0.00475528
4057,0.00293893
4460,-6.66059e-16
4851,0.00475528
5243,-0.00293893
5637,0.00293893
6030,-4.1111e-16
6539,-0.00475528
7063,-0.00293893
7559,-0.00475528
8019,-0.00475528
8428,-0.00293893
8923,-0.00293893
9411,0.00475528
9846,0.00475528
10362,0.00293893
10765,-1.32216e-15
11165,-8.51698e-16
11680,-6.27138e-15
12201,0.00475528
12616,0.00475528
13079,-0.00475528
13461,0.00475528
13961,0.00475528
14479,-0.00475528
15066,0.00475528
15654,-0.00475528
16244,-0.00475528
16821,0.00475528
17237,0.00293893
17824,-0.00475528
18467,0.00293893
18975,1.2855e-15
19505,-1.24157e-14
20111,0.00475528
20680,-2.33449e-16
21139,-0.00475528
21699,-0.00475528
22329,-0.00475528
22922,0.00293893
23538,-0.00293893
24103,-0.00293893
24703,-0.00293893
25132,0.00293893
25653,-0.00293893
26067,0.00293893
26477,0.00293893
26868,-0.00293893
27273,-0.00293893
27665,-6.45623e-15
28063,-0.00293893
28573,-0.00293893
28992,0.00293893
29405,-2.12354e-14
29838,-0.00293893
30265,1.14925e-15
30677,0.00293893
31085,-2.88852e-15
31532,0.00293893
32033,-0.00293893
32438,-0.00293893
32946,0.00475528
33319,-0.00475528
33732,0.00293893
34134,-0.00475528
34575,-2.58412e-14
34987,0.00293893
35376,0.00475528
35779,-0.00475528
36184,-0.00475528
36590,-2.26754e-14
37025,-8.18033e-15
37433,-0.00293893
37812,0.00293893
38200,-1.4188e-14
38614,-0.00475528
39002,0.00293893
39528,-0.00293893
39992,0.00293893
40506,0.00475528
40949,-0.00475528
41420,2.7869e-15
41895,7.32462e-15
42352,0.00293893
42900,-1.83885e-15
43297,0.00293893
43761,0.00475528
44136,0.00475528
44545,-2.48015e-14
44947,0.00293893
45363,-0.00293893
45840,-2.43015e-14
46236,0.00475528
46625,3.11077e-15
47112,0.00293893
47629,-0.00475528
48073,-0.00293893
48479,-0.00475528
48835,-2.86234e-14
49288,-0.00293893
49602,0.00293893
49901,0.00475528
50153,-0.00293893
50460,-2.84174e-14
