Time,Fz,Mz
0.10915,-0.916083,-1.72951
0.109287,-1.11671,-1.99702
0.109322,-0.926371,-1.74494
0.109363,-0.854353,-1.75523
0.109403,-1.04469,-1.91471
0.109444,-0.946948,-1.93529
0.109484,-0.679451,-1.72437
0.109524,-0.988101,-1.82725
0.109566,-0.880074,-1.98673
0.109609,-1.00868,-1.80668
0.118595,-0.921227,-1.7861
0.128527,-0.99839,-1.93014
0.138734,-0.926371,-1.76552
0.148857,-0.83892,-1.81182
0.158538,-1.06526,-1.86327
0.168762,-0.854353,-1.7861
0.17871,-0.941804,-1.81182
0.188828,-0.890362,-1.72437
0.198839,-0.77719,-1.81182
0.20865,-0.967525,-1.91985
0.218764,-0.880074,-1.81697
0.22869,-0.941804,-1.69864
0.238755,-1.09613,-1.93014
0.248735,-0.957236,-1.90957
0.258631,-0.828632,-1.69864
0.268697,-0.854353,-1.73466
0.278606,-1.0344,-1.91985
0.288705,-0.90065,-1.88384
0.298706,-0.859497,-1.75523
0.308712,-0.982957,-1.77067
0.318767,-1.04469,-1.8787
0.328698,-0.941804,-1.71408
0.338609,-0.890362,-1.83754
0.34863,-0.905795,-1.76038
0.358547,-0.90065,-1.78096
0.3686,-0.87493,-1.93014
0.378534,-0.921227,-1.84783
0.388605,-1.05498,-1.82725
0.398591,-0.83892,-1.80153
0.408613,-1.02925,-1.88899
0.418554,-0.916083,-1.76038
0.428496,-0.83892,-1.82725
0.438618,-0.926371,-1.81697
0.448583,-0.967525,-1.75523
0.458716,-0.823488,-1.79639
0.468599,-0.921227,-1.77067
0.478546,-0.96238,-1.81697
0.488686,-0.977813,-1.76038
0.498613,-0.87493,-1.90442
0.508518,-0.957236,-1.79639
0.518545,-0.910939,-1.76038
0.52852,-1.10642,-1.87355
0.538581,-0.895506,-1.81182
0.548649,-0.952092,-1.96101
0.55855,-0.854353,-1.80668
0.568646,-0.910939,-1.89413
0.578553,-0.90065,-1.77581
0.588821,-0.890362,-1.64206
0.598725,-1.05498,-1.80668
0.608571,-1.01382,-1.77581
0.618593,-0.880074,-1.925
0.628578,-0.926371,-1.88384
0.638565,-0.844065,-1.79124
0.648667,-1.00868,-1.96101
0.658596,-0.988101,-1.93014
0.668685,-0.916083,-1.80668
0.678501,-0.99839,-1.75009
0.688656,-1.0807,-1.91985
0.69861,-0.967525,-1.86327
0.708591,-0.8132,-1.62662
0.718717,-0.844065,-1.93014
0.728614,-0.972669,-1.80668
0.738593,-0.916083,-1.7861
0.74902,-1.02925,-1.98673
0.758583,-0.828632,-1.68321
0.768597,-0.957236,-1.95586
0.778862,-0.910939,-1.81697
0.789374,-0.854353,-1.79124
0.798556,-0.926371,-1.71922
0.808621,-0.90065,-1.68836
0.818603,-0.802911,-1.80153
0.828699,-0.8132,-1.77067
0.839092,-0.926371,-1.82725
0.848987,-0.818344,-1.79124
0.858923,-0.931515,-1.8787
0.868918,-0.921227,-1.83754
0.878955,-0.952092,-1.90442
0.889061,-1.02925,-1.93529
0.898958,-1.09098,-1.94043
0.908917,-0.967525,-1.73466
0.918999,-0.96238,-1.74494
0.929011,-0.885218,-1.76552
0.939013,-0.823488,-1.89928
0.970528,-0.967525,-1.96101
0.970761,-1.03954,-1.85812
0.981262,-0.833776,-1.81697
0.993406,-0.952092,-1.8787
1.00378,-0.977813,-1.94043
1.0153,-0.977813,-1.80668
1.02563,-0.823488,-1.7398
1.03606,-1.00353,-1.93529
1.04753,-1.05498,-1.93014
1.05778,-0.921227,-1.72951
1.06808,-0.854353,-1.87355
1.07967,-0.885218,-1.79639
1.08991,-0.885218,-1.77067
1.10013,-1.07555,-1.80668
1.12709,-1.04469,-1.81697
1.12726,-0.96238,-1.6935
1.13081,-0.921227,-1.74494
1.14084,-1.00353,-1.86327
1.15081,-0.921227,-1.73466
1.16201,-0.849209,-1.67807
1.17084,-1.05498,-1.88384
1.1809,-1.02925,-1.88384
1.19199,-0.751469,-1.67292
1.2008,-1.06526,-2.0176
1.21085,-0.792623,-1.72437
1.22199,-0.93666,-1.76552
1.23087,-0.844065,-1.76038
1.24076,-0.885218,-1.77581
1.25201,-0.890362,-1.77581
1.26078,-0.931515,-1.81182
1.27084,-1.00868,-1.88384
1.28202,-1.05498,-1.81697
1.29078,-0.844065,-1.76038
1.30082,-1.02925,-1.8787
1.31185,-0.972669,-1.79639
1.32081,-0.905795,-1.71922
1.33078,-1.04983,-1.83754
1.34201,-1.06526,-1.66778
1.35084,-0.916083,-1.69864
1.36078,-1.01897,-2.04332
1.37197,-0.93666,-1.76038
1.38084,-0.77719,-1.82725
1.39084,-0.921227,-1.85298
1.40205,-0.972669,-1.84269
1.41083,-0.741181,-1.70379
1.4208,-0.926371,-1.925
1.43203,-0.746325,-1.70893
1.44087,-1.02411,-1.94043
1.45078,-0.83892,-1.71408
1.46201,-1.04983,-1.90957
1.47084,-0.993245,-1.69864
1.48099,-0.910939,-1.75523
1.49198,-1.10127,-1.71922
1.50083,-1.03954,-1.79124
1.51093,-1.0344,-1.86327
1.52229,-0.916083,-1.79124
1.53084,-0.910939,-1.97644
1.54096,-0.844065,-1.78096
