Time,Fz,Mz
0.106239,-0.273062,0.0658851
0.106389,-0.0981599,0.0453075
0.106432,-0.0775832,-0.0472917
0.106469,-0.144457,0.132762
0.106506,-0.370801,-0.0318585
0.106543,-0.139313,0.0813183
0.106579,-0.108448,0.0813183
0.106629,-0.278206,-0.0267141
0.106667,-0.0981599,0.0453075
0.106703,-0.15989,0.132762
0.107161,-0.190755,0.0607407
0.115869,0.112751,0.0555963
0.125825,-0.28335,-0.0575805
0.136892,-0.201043,0.19964
0.145736,-0.175322,0.0967515
0.155796,-0.180467,-0.0215697
0.16699,-0.180467,0.0453075
0.175845,-0.0878716,0.0658851
0.185836,-0.165034,0.0504519
0.197014,-0.108448,0.0401631
0.205814,-0.108448,0.0916071
0.2158,-0.237052,0.0864627
0.226996,-0.072439,-0.0627249
0.235818,-0.149602,0.0607407
0.245763,-0.139313,0.0761739
0.256914,-0.273062,0.0555963
0.265688,-0.211332,0.158484
0.275771,-0.195899,0.0350187
0.286948,-0.118737,-0.0472917
0.295793,-0.165034,0.127618
0.305896,-0.360513,-0.0730137
0.316887,-0.298783,0.10704
0.325773,-0.298783,-0.0112809
0.3358,-0.195899,0.0144411
0.34698,-0.180467,0.0401631
0.355743,-0.216476,-0.0370029
0.36579,-0.231908,0.0298743
0.377162,-0.134169,-0.0112809
0.385952,-0.303927,0.0761739
0.395955,-0.180467,0.184206
0.407337,-0.170178,0.127618
0.415955,-0.139313,0.148196
0.425953,-0.252485,-0.0987357
0.437244,-0.350224,-0.0164253
0.445998,-0.324503,-0.0627249
0.455927,-0.303927,0.0658851
0.467381,-0.144457,-0.0472917
0.475924,-0.0878716,-0.0112809
0.485916,-0.108448,0.173918
0.49709,-0.0930157,0.0504519
0.505849,-0.0672949,-0.0318585
0.515816,-0.0621507,0.0658851
0.527107,-0.242197,-0.0678693
0.535884,-0.458252,-0.0627249
0.545845,-0.278206,0.0607407
0.557093,-0.314215,0.0247299
0.565985,-0.0570065,0.0453075
0.575974,-0.0981599,0.204784
0.587087,-0.103304,0.0453075
0.595765,-0.139313,0.132762
0.605693,-0.154746,0.0401631
0.617098,-0.319359,0.10704
0.625855,-0.108448,0.0453075
0.636358,-0.22162,0.0453075
0.647843,-0.175322,0.0401631
0.656138,-0.103304,0.0864627
0.665917,-0.278206,0.0504519
0.677151,-0.139313,0.10704
