Time,Fz,Mz
0.395452,-0.0164253,0.0253002
0.395623,-0.0421473,-0.0261415
0.395674,-0.0370029,-0.103304
0.395716,0.0555963,-0.0261415
0.395756,0.0607407,0.0253002
0.395795,0.0555963,0.0767419
0.395834,0.0401631,0.102463
0.395872,-0.0833025,-0.0364299
0.395909,0.179062,0.0047235
0.395945,0.0401631,0.0767419
0.395981,0.0298743,0.143616
0.400946,-0.0421473,-0.154746
0.41083,-0.0730137,-0.0518624
0.420887,-0.109025,-0.0518624
0.430923,-0.0421473,-0.103304
0.44098,0.0195855,-0.108448
0.450818,-0.0112809,-0.0775832
0.460814,0.0504519,0.00986767
0.47086,-0.0318585,-0.113592
0.48084,0.0504519,0.0818861
0.490905,0.0658851,0.0355885
0.500779,0.10704,0.0561652
0.510827,0.0916071,0.0870302
0.520815,0.0813183,0.0304444
0.530793,-0.0164253,0.0355885
0.540787,-0.0627249,-0.0312857
0.550814,-0.0370029,0.0407327
0.560886,-0.0884469,-0.000420669
0.571001,-0.0421473,0.00986767
0.580819,-0.155324,-0.0981599
0.590776,-0.0884469,-0.0878716
0.600851,0.0350187,-0.0518624
0.610738,-0.0164253,-0.0570065
0.620755,0.132762,0.0253002
0.630856,0.0555963,0.0355885
0.640708,0.137907,0.0973186
0.650768,0.112185,0.179625
0.660793,0.0092967,0.00986767
0.6708,0.230506,0.102463
0.680753,0.112185,0.112751
0.690917,-0.0472917,0.0613094
0.700717,0.0041523,-0.0209973
0.710736,-0.0730137,-0.0827274
0.720876,0.0350187,0.0355885
0.730906,0.101896,0.0150118
0.740676,0.117329,0.112751
0.750774,0.0041523,0.189914
0.760781,-0.0678693,-0.103304
0.770683,-0.0575805,-0.072439
0.780718,-0.0318585,-0.113592
0.79071,-0.0987357,0.0150118
0.800711,-0.0421473,-0.0158532
0.810746,-0.0318585,-0.0775832
0.82066,0.0658851,0.0767419
0.830756,0.0864627,0.0355885
0.84076,0.0453075,0.102463
0.850762,-0.0112809,0.0715977
0.86071,0.0092967,0.0921744
0.870757,0.0453075,0.0715977
0.8812,-0.10388,-0.0261415
0.890942,-0.0987357,0.0047235
0.900809,-0.0678693,-0.113592
0.910859,-0.0575805,-0.0209973
0.92102,0.0864627,0.138472
0.930888,0.168773,0.133328
0.940805,-0.109025,0.0355885
0.950829,-0.124458,-0.0467182
0.960811,-0.10388,-0.0467182
0.970732,-0.10388,-0.0930157
0.980874,0.0195855,0.0047235
0.990759,-0.0370029,-0.0158532
1.00077,0.0350187,0.14876
1.01078,0.0813183,0.102463
1.0208,-0.0678693,-0.0775832
1.03076,-0.0987357,-0.0570065
1.04068,-0.0575805,-0.0827274
1.05079,-0.0833025,-0.0209973
1.0608,-0.0370029,-0.041574
1.07079,-0.119313,-0.0467182
1.08077,0.132762,0.0407327
1.09078,-0.0215697,0.020156
1.10083,0.0195855,0.0047235
1.11079,-0.129602,-0.123881
1.12069,0.101896,0.0304444
1.13097,0.0195855,0.00986767
1.14072,-0.0678693,-0.0467182
1.15084,0.137907,0.195058
1.16094,-0.0318585,-0.0467182
1.17078,-0.0112809,0.0870302
1.18079,-0.0318585,-0.103304
1.19087,-0.0267141,-0.0312857
1.20078,0.0144411,-0.000420669
1.21086,-0.0112809,-0.0209973
1.22079,0.0144411,-0.118737
1.23078,-0.145035,-0.103304
1.24079,0.0195855,-0.0775832
1.25076,-0.0627249,-0.041574
1.2608,0.0658851,0.0355885
1.27079,-0.124458,-0.00556484
1.28074,0.0195855,-0.000420669
1.29079,-0.0833025,-0.129025
1.3008,0.0453075,-0.072439
1.31079,0.0092967,-0.103304
1.32077,0.0144411,-0.000420669
1.3308,-0.000992107,-0.180467
1.34079,0.0607407,-0.0467182
1.35079,-0.0678693,0.0407327
1.36069,0.0916071,-0.0158532
1.37072,-0.119313,-0.041574
1.38097,-0.0215697,-0.0209973
1.39095,-0.10388,-0.0981599
1.4008,0.0658851,-0.103304
1.41078,-0.0575805,-0.118737
1.42078,-0.0730137,-0.0878716
1.43069,-0.0935913,-0.134169
1.44064,-0.0318585,-0.072439
1.4508,-0.114169,-0.0827274
1.46095,-0.0112809,-0.0209973
1.47111,-0.0833025,-0.144457
1.48081,-0.119313,-0.0518624
1.49084,-0.0472917,0.0818861
1.50091,-0.160469,-0.0827274
1.5108,0.117329,0.0561652
1.52098,-0.109025,-0.0570065
1.53079,-0.10388,-0.0570065
1.5408,-0.0215697,0.00986767
1.55083,-0.0370029,-0.129025
1.56081,0.0607407,0.051021
1.57084,-0.0781581,-0.201043
1.58096,-0.0524361,-0.0364299
1.59088,-0.0833025,-0.0878716
1.60093,0.0555963,0.0818861
1.61078,0.0658851,0.0047235
1.62086,0.127618,0.0304444
1.63101,0.101896,0.128184
1.64092,0.0504519,0.0767419
1.65098,0.0813183,0.0818861
1.66122,0.122474,0.0613094
1.67118,-0.0472917,-0.0775832
1.68111,0.0092967,-0.072439
1.69119,-0.0267141,-0.123881
1.70143,0.0864627,0.0613094
1.7114,0.127618,0.0407327
1.72141,0.101896,0.0818861
1.73143,0.0864627,0.153904
1.74118,0.0401631,0.112751
1.75125,0.0401631,0.138472
1.76125,-0.000992107,-0.0364299
1.77135,0.0607407,0.0664535
1.78129,-0.10388,0.0561652
1.79142,0.0453075,0.102463
1.80132,-0.247923,-0.0621507
1.8114,-0.0524361,-0.0261415
1.82141,-0.139891,-0.0672949
1.83142,-0.0421473,-0.0981599
1.84113,-0.10388,-0.0775832
1.85093,-0.0884469,-0.103304
1.86093,-0.0267141,-0.103304
1.87075,-0.0472917,-0.134169
1.8808,0.0401631,0.0150118
1.89076,0.0813183,0.0150118
1.90097,-0.000992107,0.102463
1.91083,0.0247299,0.0921744
1.92082,0.0401631,0.020156
1.93095,0.0092967,0.0253002
1.94703,-0.0472917,-0.0312857
1.95079,-0.0112809,-0.000420669
1.96113,-0.139891,-0.072439
1.97079,-0.0935913,-0.0364299
1.98101,-0.181046,-0.0209973
1.99085,-0.0627249,0.0047235
2.0008,-0.109025,-0.0672949
2.0108,-0.119313,-0.139313
2.02082,0.0247299,-0.15989
2.03075,-0.0935913,-0.0672949
2.04072,0.0916071,0.0253002
2.05093,-0.0987357,-0.072439
2.06072,0.194495,0.00986767
2.07081,-0.15018,-0.129025
2.08078,-0.0112809,0.0047235
2.09082,0.0144411,-0.0775832
2.10084,0.0658851,0.0664535
2.11081,0.0607407,0.107607
2.12083,0.112185,0.200202
2.13073,0.0761739,0.169337
2.14068,-0.0781581,-0.0261415
2.1508,-0.114169,0.0818861
2.16077,-0.0472917,-0.149602
2.17093,-0.0112809,0.0355885
2.18097,-0.175902,-0.0672949
2.19069,-0.0987357,-0.00556484
2.20079,-0.0215697,-0.0930157
2.21083,-0.139891,-0.231908
2.22095,0.0453075,0.0561652
2.23091,0.0607407,0.020156
2.24087,0.0864627,0.0355885
2.25116,0.0916071,-0.0672949
2.26131,0.0401631,0.0304444
2.27126,-0.0884469,-0.154746
2.28153,-0.0267141,-0.072439
2.29128,-0.160469,-0.103304
2.30126,0.0195855,-0.0518624
2.31145,-0.0627249,-0.129025
2.32142,-0.0215697,-0.00556484
2.33131,-0.00613651,-0.0570065
