Time,Fz,Mz
0.110828,-0.499405,0.209928
0.111273,-0.648586,-0.0318585
0.111446,-0.442819,0.276806
0.111559,-0.422243,0.220217
0.111657,-0.478828,-0.000992107
0.111754,-0.458252,0.251084
0.111851,-0.381089,0.0864627
0.111946,-0.365657,0.287094
0.112039,-0.499405,0.0041523
0.112166,-0.545703,-0.0164253
0.112279,-0.519982,0.101896
0.120025,-0.40681,0.101896
0.130081,-0.633154,0.0247299
0.141661,-0.46854,0.0504519
0.149876,-0.422243,0.225362
0.160029,-0.432531,0.0967515
0.171437,-0.46854,0.19964
0.179898,-0.571424,-0.0164253
0.189974,-0.638298,0.143051
0.201353,-0.535414,-0.0164253
0.209998,-0.607433,0.0864627
0.219992,-0.628009,-0.0215697
0.231566,-0.509693,0.184206
0.240138,-0.53027,0.0813183
0.249919,-0.622865,0.0247299
0.261406,-0.576568,0.0761739
0.270159,-0.40681,0.143051
0.280066,-0.602289,0.148196
0.291553,-0.34508,0.137907
0.299877,-0.463396,0.0967515
0.310013,-0.473684,0.0092967
0.321695,-0.391378,0.245939
0.329935,-0.365657,0.266517
0.340055,-0.550847,0.148196
0.351408,-0.442819,0.302528
0.359983,-0.607433,0.0041523
0.37,-0.509693,0.163629
0.381574,-0.437675,0.122474
0.390025,-0.504549,0.127618
0.400017,-0.519982,0.0453075
0.41165,-0.628009,-0.0112809
0.419918,-0.432531,0.0195855
0.43019,-0.519982,-0.000992107
0.44143,-0.396522,0.101896
0.449869,-0.499405,-0.000992107
0.459993,-0.458252,0.184206
0.471562,-0.370801,0.132762
0.480072,-0.514838,0.117329
0.490044,-0.494261,-0.0112809
0.501529,-0.40681,0.302528
0.509987,-0.442819,0.225362
0.520073,-0.525126,0.0298743
0.531557,-0.612577,0.0761739
0.540129,-0.422243,0.112185
0.549924,-0.483973,0.158484
0.56137,-0.375945,0.122474
0.569936,-0.40681,0.143051
0.580164,-0.483973,0.179062
0.591595,-0.411954,0.132762
0.600074,-0.648586,0.0864627
0.609994,-0.674307,0.0761739
0.621636,-0.375945,0.148196
0.6302,-0.40681,0.148196
0.640008,-0.442819,0.0555963
0.651577,-0.463396,0.101896
0.660129,-0.504549,0.158484
0.670071,-0.478828,0.0813183
0.68163,-0.458252,0.173918
0.690049,-0.483973,0.158484
0.700125,-0.391378,0.122474
0.711679,-0.350224,0.0813183
