Time,Fz,Mz
0.398851,-0.242197,-1.79124
0.399359,-0.0312857,-1.74494
0.39954,-0.28335,-1.81697
0.39964,-0.103304,-1.85298
0.399734,-0.165034,-1.71922
0.399825,-0.237052,-1.87355
0.399915,-0.103304,-1.71922
0.400007,-0.262773,-1.84269
0.400097,-0.123881,-1.69864
0.400189,-0.139313,-1.76552
0.400284,-0.113592,-1.71408
0.400398,-0.0775832,-1.74494
0.400501,-0.108448,-1.70893
0.410684,-0.0672949,-1.71922
0.420508,-0.134169,-1.85812
0.430583,-0.0827274,-1.72951
0.440478,-0.298783,-1.83754
0.450663,-0.211332,-1.72437
0.460783,-0.355368,-1.79124
0.470627,-0.211332,-1.76552
0.480568,-0.041574,-1.66778
0.490536,-0.129025,-1.70379
0.500703,-0.149602,-1.71408
0.510468,-0.0775832,-1.80668
0.520479,-0.123881,-1.78096
0.530672,-0.123881,-1.6935
0.540499,-0.231908,-1.72951
0.550627,-0.144457,-1.6935
0.56053,-0.165034,-1.6935
0.570499,-0.309071,-1.80153
0.580534,-0.0672949,-1.72437
0.590426,-0.185611,-1.74494
0.600616,-0.0878716,-1.73466
0.610478,-0.0775832,-1.72437
0.620472,-0.247341,-1.87355
0.630532,-0.113592,-1.63177
0.640514,-0.309071,-1.7398
0.650631,-0.154746,-1.63691
0.660545,-0.149602,-1.70379
0.670563,-0.22162,-1.9713
0.680654,-0.0775832,-1.6472
0.69041,-0.216476,-1.74494
0.700654,-0.288494,-1.75523
0.710484,0.0253002,-1.64206
0.72032,-0.0518624,-1.69864
0.73054,-0.226764,-1.67807
0.740493,-0.252485,-1.82211
0.750659,-0.211332,-1.78096
0.760741,-0.293638,-1.7861
0.770486,-0.144457,-1.59576
0.78069,-0.139313,-1.70893
0.790449,-0.339936,-1.76038
0.800656,-0.108448,-1.69864
0.810515,-0.0621507,-1.69864
0.820615,-0.195899,-1.69864
0.830657,-0.149602,-1.67807
0.840617,-0.211332,-1.70379
0.85072,-0.154746,-1.65235
0.860509,-0.0467182,-1.6472
0.870692,-0.293638,-1.95586
0.88065,-0.247341,-1.82725
0.890328,-0.0570065,-1.66263
0.900468,-0.108448,-1.54431
0.910459,-0.267918,-1.84269
0.920297,-0.195899,-1.84783
0.930714,-0.0827274,-1.73466
0.940464,-0.195899,-1.72437
0.950318,-0.273062,-1.89413
0.960321,-0.247341,-1.62662
0.970249,-0.0518624,-1.72951
0.980405,-0.216476,-1.62662
0.990387,-0.165034,-1.62148
