Timestamp,Fz (N),Mz (V)
0.8226363658905029,66.75078050809572,-2.501171479
0.8226611614227295,63.852857591859205,-2.454871861
0.82267165184021,65.35548428916704,-2.403427841
0.8226783275604248,64.49684046213399,-2.598915117
0.8226838111877441,65.2481538107879,-2.362272625
0.8226890563964844,62.77955280806791,-2.691514353
0.8226945400238037,67.93141577026616,-2.362272625
0.8226995468139648,62.24290041617226,-2.5629043030000003
0.8227055072784424,65.89213668106268,-2.398283439
0.8227107524871826,67.71675481350789,-2.449727459
0.8227157592773438,60.9549346756227,-2.5629043030000003
0.8227219581604004,68.14607672702441,-2.2851065950000002
0.8227276802062988,65.57014524592529,-2.5577599010000003
0.8227331638336182,59.45230797831488,-2.465160665
0.8227384090423584,65.35548428916704,-2.424005449
0.8227436542510986,65.46281476754616,-2.408572243
0.8227496147155762,61.706248024276604,-2.5371822930000003
0.8227555751800537,66.21412811620007,-2.434294253
0.822761058807373,62.564891851309646,-2.501171479
0.8227667808532715,66.96544146485398,-2.331406213
0.8227715492248535,64.1748490269966,-2.490882675
0.8227765560150146,64.71150141889224,-2.496027077
0.8227818012237549,66.96544146485398,-2.2799621930000002
0.822786808013916,62.88688328644704,-2.5371822930000003
0.8227927684783936,67.60942433512876,-2.2748177910000003
0.8227982521057129,64.38950998375486,-2.501171479
0.8228039741516113,67.60942433512876,-2.351983821
0.8228089809417725,62.67222232968878,-2.470305067
0.8228137493133545,63.74552711348008,-2.470305067
0.8228187561035156,63.316205199963555,-2.460016263
0.8228240013122559,63.42353567834269,-2.439438655
0.8228292465209961,70.40001677298613,-2.434294253
0.8228349685668945,63.638196635100954,-2.598915117
0.8228409290313721,65.78480620268355,-2.444583057
0.8228461742401123,63.960188070238345,-2.434294253
0.8228514194488525,65.03349285402965,-2.444583057
0.8228561878204346,64.60417094051311,-2.5166046850000003
0.8228616714477539,64.28217950537572,-2.490882675
0.822866678237915,62.13556993779312,-2.5268934890000003
0.8228719234466553,66.96544146485398,-2.351983821
0.8228816986083984,66.21412811620007,-2.5886263130000002
0.8228869438171387,64.1748490269966,-2.449727459
0.8228919506072998,65.67747572430441,-2.346839419
0.8228967189788818,63.1015442432053,-2.5474710970000003
0.8229022026062012,69.00472055405744,-2.2542401830000003
0.8229076862335205,60.9549346756227,-2.5834819110000002
0.8229131698608398,66.42878907295832,-2.336550615
0.8229179382324219,63.852857591859205,-2.485738273
0.8229231834411621,66.10679763782093,-2.5526154990000003
0.8229284286499023,64.60417094051311,-2.434294253
0.8229336738586426,62.564891851309646,-2.490882675
0.8229382038116455,67.28743289999137,-2.2336625750000003
0.8229444026947021,62.45756137293052,-2.5731931070000003
0.8229498863220215,62.13556993779312,-2.403427841
0.8229548931121826,64.38950998375486,-2.444583057
0.8229596614837646,65.35548428916704,-2.449727459
0.8229641914367676,64.81883189727138,-2.490882675
0.8229691982269287,64.60417094051311,-2.5680487050000003
0.8229742050170898,63.42353567834269,-2.485738273
0.8229794502258301,68.89739007567832,-2.346839419
0.8229842185974121,63.74552711348008,-2.5320378910000003
0.8229897022247314,64.71150141889224,-2.511460283
0.8229947090148926,70.6146777297444,-2.403427841
0.8229997158050537,59.45230797831488,-2.609203921
0.8230082988739014,70.18535581622788,-2.2439513790000003
0.8230140209197998,61.49158706751835,-2.5731931070000003
0.8230195045471191,63.316205199963555,-2.362272625
0.8230247497558594,65.35548428916704,-2.403427841
0.8230292797088623,64.38950998375486,-2.470305067
0.8230342864990234,64.71150141889224,-2.403427841
0.8230388164520264,66.75078050809572,-2.449727459
0.8230435848236084,66.75078050809572,-2.424005449
0.8230488300323486,59.881629891831395,-2.619492725
0.8230535984039307,64.28217950537572,-2.408572243
0.8230583667755127,63.74552711348008,-2.490882675
0.8230628967285156,64.9261623756505,-2.475449469
0.8230688571929932,67.50209385674964,-2.403427841
0.8230736255645752,62.24290041617226,-2.645214735
0.8230781555175781,66.42878907295832,-2.382850233
0.8230867385864258,66.21412811620007,-2.418861047
0.8230915069580078,63.852857591859205,-2.475449469
0.823096752166748,66.21412811620007,-2.454871861
0.823101282119751,64.38950998375486,-2.424005449
0.823106050491333,61.38425658913922,-2.490882675
0.8231110572814941,65.78480620268355,-2.5577599010000003
0.8231163024902344,63.960188070238345,-2.2490957810000003
0.8231217861175537,63.42353567834269,-2.5731931070000003
0.8231267929077148,66.53611955133745,-2.305684203
0.823131799697876,63.74552711348008,-2.5320378910000003
0.8231368064880371,64.60417094051311,-2.408572243
0.8231418132781982,68.79005959729919,-2.377705831
0.8231463432312012,62.564891851309646,-2.624637127
0.8231513500213623,63.1015442432053,-2.434294253
0.8231563568115234,67.0727719432331,-2.398283439
0.8231608867645264,63.53086615672182,-2.5166046850000003
0.8231663703918457,65.89213668106268,-2.480593871
0.8231711387634277,65.57014524592529,-2.357128223
0.8231766223907471,60.74027371886444,-2.604059519
0.8231816291809082,68.03874624864528,-2.2748177910000003
0.8231868743896484,61.813578502655744,-2.598915117
1.0254812240600586,65.03349285402965,-2.2902509970000002
1.025500774383545,65.14082333240877,-2.444583057
1.025508165359497,65.57014524592529,-2.465160665
1.0255138874053955,64.9261623756505,-2.5217490870000003
1.0255203247070312,63.960188070238345,-2.511460283
1.025528907775879,68.36073768378266,-2.2645289870000003
1.0255510807037354,61.169595632380954,-2.5577599010000003
1.025557279586792,66.75078050809572,-2.367417027
1.025564193725586,64.60417094051311,-2.5217490870000003
1.0255701541900635,64.06751854861747,-2.480593871
1.0255753993988037,66.64345002971659,-2.454871861
1.025580644607544,60.52561276210618,-2.712091961
1.025585651397705,69.32671198919485,-2.341695017
1.0255906581878662,65.35548428916704,-2.609203921
1.0255956649780273,64.71150141889224,-2.434294253
1.0256013870239258,65.46281476754616,-2.511460283
